Municipality,Latitude,Longitude,Change since April 2020 (#),Change since April 2020 (%),Total Population
Yauco,18.085176567,-66.862356439,-1268,-0.03711,32904
Yabucoa,18.069002576,-65.893272677,-1121,-0.03684,29305
Villalba,18.127523086,-66.471330958,-627,-0.02838,21466
Vieques,18.124779788,-65.398724578,-206,-0.02497,8043
Vega Baja,18.41707088,-66.393428723,-730,-0.01342,53684
Vega Alta,18.405022228,-66.341634531,-609,-0.01721,34786
Utuado,18.262328584,-66.695817641,-752,-0.02658,27535
Trujillo Alto,18.332756646,-65.993730975,-930,-0.01373,66810
Toa Baja,18.435889246,-66.204048312,-2510,-0.03334,72783
Toa Alta,18.357968481,-66.251248765,-811,-0.01213,66041
Santa Isabel,17.997102207,-66.388272416,-459,-0.02263,19822
San Sebastián,18.323054385,-66.980822407,-376,-0.00956,38969
San Lorenzo,18.144917416,-65.977126495,-433,-0.01149,37260
San Juan,18.387907841,-66.06396613,-7483,-0.02186,334776
San Germán,18.11422953,-67.050916219,-705,-0.02211,31174
Salinas,18.015241468,-66.256150057,-789,-0.03059,25000
Sabana Grande,18.087429582,-66.934295756,-378,-0.01663,22351
Río Grande,18.345883138,-65.808709401,-1220,-0.02592,45840
Rincón,18.335663838,-67.225729099,129,0.00849,15316
Quebradillas,18.435879067,-66.937072149,-306,-0.01295,23332
Ponce,18.048429278,-66.605540914,-5353,-0.03893,132138
Peñuelas,18.054540305,-66.730274917,-636,-0.03118,19763
Patillas,18.031904338,-66.006779206,-461,-0.02884,15524
Orocovis,18.206575082,-66.447399438,-205,-0.00956,21229
Naranjito,18.285620617,-66.251388157,-33,-0.00113,29208
Naguabo,18.230272798,-65.743304044,-422,-0.01804,22964
Morovis,18.31230604,-66.425235406,-450,-0.01566,28277
Moca,18.368148346,-67.080177023,-181,-0.00483,37279
Mayagüez,18.192065635,-67.304356822,-2468,-0.03377,70609
Maunabo,18.02276946,-65.925066744,-221,-0.02087,10368
Maricao,18.169651465,-66.949129944,-180,-0.03785,4575
Manatí,18.424556025,-66.506428331,-741,-0.01876,38751
Luquillo,18.340793266,-65.72755774,-332,-0.01867,17449
Loíza,18.426073435,-65.903737422,-1036,-0.04373,22657
Las Piedras,18.184089782,-65.873390186,-366,-0.0104,34814
Las Marías,18.24886699,-66.993165265,-169,-0.01904,8705
Lares,18.254598786,-66.851242211,-331,-0.01178,27774
Lajas,18.008932292,-67.048450549,-398,-0.01706,22936
Juncos,18.219270901,-65.915531608,-340,-0.00919,36672
Juana Díaz,18.059567825,-66.502616276,-615,-0.01322,45923
Jayuya,18.219917275,-66.58857622,-284,-0.01922,14495
Isabela,18.450585931,-66.996089157,-189,-0.0044,42754
Humacao,18.134319434,-65.811264424,-972,-0.0191,49924
Hormigueros,18.136359369,-67.116362901,-241,-0.0154,15413
Hatillo,18.427388919,-66.806640787,-465,-0.01208,38021
Gurabo,18.262297073,-65.979418214,-561,-0.01381,40061
Guaynabo,18.355834379,-66.113544851,-723,-0.00805,89057
Guayanilla,18.042476111,-66.787776038,-720,-0.04049,17064
Guayama,18.028186024,-66.125025328,-1352,-0.03693,35262
Guánica,17.973819986,-66.911473403,-987,-0.07159,12800
Florida,18.370239113,-66.565632943,-154,-0.01317,11538
Fajardo,18.326416691,-65.655048053,-749,-0.02332,31375
Dorado,18.435587117,-66.265722495,-216,-0.00602,35663
Culebra,18.316972614,-65.292855141,-23,-0.01283,1769
Corozal,18.308660988,-66.331900698,-249,-0.0072,34322
Comerío,18.22689684,-66.218957529,-264,-0.01398,18619
Coamo,18.103916002,-66.366283493,-781,-0.02253,33887
Cidra,18.171254876,-66.16626018,-455,-0.01138,39515
Ciales,18.269033264,-66.526724429,-242,-0.01425,16742
Ceiba,18.250984453,-65.660722983,-376,-0.03325,10931
Cayey,18.108376748,-66.141150436,-870,-0.02089,40782
Cataño,18.440257409,-66.142953824,-791,-0.03416,22364
Carolina,18.37136236,-65.95869059,-3244,-0.02095,151571
Canóvanas,18.326347695,-65.890526088,-700,-0.01653,41637
Camuy,18.421355359,-66.847833218,-207,-0.00631,32620
Caguas,18.219978286,-66.042809419,-2108,-0.01657,125136
Cabo Rojo,18.047385388,-67.158768907,-440,-0.00933,46718
Bayamón,18.3493877,-66.16497633,-3610,-0.01949,181577
Barranquitas,18.194988857,-66.310732406,-39,-0.00135,28944
Barceloneta,18.440177991,-66.55419629,-241,-0.01064,22416
Arroyo,17.994052392,-66.057569857,-554,-0.03497,15289
Arecibo,18.394580156,-66.67109371,-1664,-0.01896,86090
Añasco,18.284957542,-67.13324318,-570,-0.02227,25026
Aibonito,18.136424037,-66.255094586,-82,-0.00333,24555
Aguas Buenas,18.247798536,-66.131220161,-685,-0.02828,23538
Aguadilla,18.445959096,-67.126183283,-1170,-0.02123,53931
Aguada,18.362060114,-67.173705064,-470,-0.01232,37666
Adjuntas,18.181887965,-66.756319634,-115,-0.00638,17905
